Posture  ,Direction ,TaskTime           ,Degree/Second
Standing ,Right     ,1.767137833333333  ,28.29434074516165
Standing ,UpRight   ,1.9631066521739122 ,20.37586697376052
Standing ,Up        ,1.4320703749999988 ,20.948691156326745
Standing ,UpLeft    ,1.9723322127659584 ,20.280559097042186
Standing ,Left      ,1.668619565217392  ,29.96488896705815
Standing ,DownLeft  ,1.8997405744680866 ,21.05550649261661
Standing ,Down      ,1.5406871666666675 ,19.471830913543656
Standing ,DownRight ,1.889840739130434  ,21.165804700773393
Lying    ,Right     ,1.985201891304346  ,25.186355211030087
Lying    ,UpRight   ,2.345740697674419  ,17.052183150361092
Lying    ,Up        ,1.792418545454546  ,16.737162241530026
Lying    ,UpLeft    ,2.428963046511629  ,16.467932707929112
Lying    ,Left      ,2.63905288888889   ,18.946190965142538
Lying    ,DownLeft  ,1.9126013636363657 ,20.91392422932781
Lying    ,Down      ,1.7944859583333337 ,16.71787949116254
Lying    ,DownRight ,2.0021169999999993 ,19.97885238475075
