Posture,Direction,Pair,Corr,P-value
Standing,Right,Yaw,0.8220621027000229,0.0
Standing,Right,Pitch,0.22077661840011437,0.0
Standing,UpRight,Yaw,0.7000838736768942,0.0
Standing,UpRight,Pitch,0.14500056986523716,0.0
Standing,Up,Yaw,-0.11683230272009816,4.345226678147591e-09
Standing,Up,Pitch,0.08494710185658602,4.345226678147591e-09
Standing,UpLeft,Yaw,0.7166690178418562,0.0
Standing,UpLeft,Pitch,-0.030128782814455867,0.0
Standing,Left,Yaw,0.7896799809016048,0.0
Standing,Left,Pitch,0.19470533907210238,0.0
Standing,DownLeft,Yaw,0.7181584359712812,0.0
Standing,DownLeft,Pitch,0.31283395418690557,0.0
Standing,Down,Yaw,0.31184338511357407,5.674382020338699e-62
Standing,Down,Pitch,0.3058739667432559,5.674382020338699e-62
Standing,DownRight,Yaw,0.7646023193307431,0.0
Standing,DownRight,Pitch,0.3599936401992643,0.0
Lying,Right,Yaw,0.515576704281107,6.380415268481181e-251
Lying,Right,Pitch,0.32888968488434495,6.380415268481181e-251
Lying,UpRight,Yaw,0.28426114313483003,6.497128577139129e-89
Lying,UpRight,Pitch,0.1253062066724649,6.497128577139129e-89
Lying,Up,Yaw,0.20198232391076743,3.22275002315616e-35
Lying,Up,Pitch,-0.13211409254351805,3.22275002315616e-35
Lying,UpLeft,Yaw,0.25355720519632935,1.118912179087949e-73
Lying,UpLeft,Pitch,-0.20978749702135607,1.118912179087949e-73
Lying,Left,Yaw,0.25469438890638174,1.0347470554002497e-76
Lying,Left,Pitch,-0.009191317712751746,1.0347470554002497e-76
Lying,DownLeft,Yaw,0.46224475892903477,6.7990653824623e-208
Lying,DownLeft,Pitch,0.24101148513016055,6.7990653824623e-208
Lying,Down,Yaw,0.29011238345655566,1.1286256082571823e-62
Lying,Down,Pitch,0.38988761583414944,1.1286256082571823e-62
Lying,DownRight,Yaw,0.4103793139370516,5.5198829877150846e-180
Lying,DownRight,Pitch,0.27740259719677834,5.5198829877150846e-180
