Type,Direction,Posture,TrunkRotation
TrunkYaw,Right,Standing,13.225477260416666
TrunkYaw,Right,Lying,5.094093783333333
TrunkYaw,UpRight,Standing,6.599953666666667
TrunkYaw,UpRight,Lying,5.135043272916667
TrunkYaw,Up,Standing,0.6577093791666666
TrunkYaw,Up,Lying,0.11946499166666667
TrunkYaw,UpLeft,Standing,4.79398805
TrunkYaw,UpLeft,Lying,3.5154937066666667
TrunkYaw,Left,Standing,14.278455358333334
TrunkYaw,Left,Lying,6.05897450625
TrunkYaw,DownLeft,Standing,7.361178504166666
TrunkYaw,DownLeft,Lying,3.76909034
TrunkYaw,Down,Standing,0.051533952083333334
TrunkYaw,Down,Lying,0.4821658911111111
TrunkYaw,DownRight,Standing,7.344035
TrunkYaw,DownRight,Lying,3.5341041311111114
TrunkPitch,Right,Standing,0.31649892833333326
TrunkPitch,Right,Lying,1.389719351875
TrunkPitch,UpRight,Standing,0.23914986250000003
TrunkPitch,UpRight,Lying,1.8140890999999997
TrunkPitch,Up,Standing,1.3456142204166666
TrunkPitch,Up,Lying,0.21778485556250005
TrunkPitch,UpLeft,Standing,0.2256757985416667
TrunkPitch,UpLeft,Lying,0.5379995604166665
TrunkPitch,Left,Standing,0.931490925
TrunkPitch,Left,Lying,0.37085679541666683
TrunkPitch,DownLeft,Standing,1.5899175620833332
TrunkPitch,DownLeft,Lying,1.8866106895833332
TrunkPitch,Down,Standing,1.9046254186875
TrunkPitch,Down,Lying,4.269178502083333
TrunkPitch,DownRight,Standing,1.0903476125
TrunkPitch,DownRight,Lying,2.58538590625
