Posture,Direction,Pair,Slope,Intercept,R^2
Standing,Right,Yaw,1.6589207224281324,11.397617957300996,0.44505032648873677
Standing,Right,Pitch,0.14745620301018458,0.7840558183935158,0.02822712871401778
Standing,UpRight,Yaw,1.930117382468385,6.58501665941483,0.4044622741981173
Standing,UpRight,Pitch,0.7126949150526316,8.459986920836679,0.019621958365213743
Standing,Up,Yaw,-0.22481954879226493,-0.19863175665868404,0.025632793795709374
Standing,Up,Pitch,0.915299867265522,8.045327174654314,0.03475863706430271
Standing,UpLeft,Yaw,2.05232422120717,-8.687457148821453,0.3425131537928402
Standing,UpLeft,Pitch,0.3219930101075162,7.989039698029987,0.004897976869544851
Standing,Left,Yaw,1.5329715011659637,-10.8766302545387,0.45875915553557767
Standing,Left,Pitch,0.09307142686761447,-0.7273181902753105,0.0054811918154165085
Standing,DownLeft,Yaw,1.5222020151609834,-8.355644862285137,0.3601977447941408
Standing,DownLeft,Pitch,1.6442127097583745,-7.325777601121816,0.21449531692387203
Standing,Down,Yaw,0.5231330268804614,-0.25837901675818153,0.09474745364741377
Standing,Down,Pitch,1.994248445955966,-6.806638877589658,0.2159496464189855
Standing,DownRight,Yaw,1.372264653620367,7.867683972636664,0.3870088621308698
Standing,DownRight,Pitch,2.0113106999370833,-5.763422165223597,0.24322731043951185
Lying,Right,Yaw,1.0305201495150589,11.898960430208184,0.03872253161731576
Lying,Right,Pitch,1.9648990452079262,-1.137694588388761,0.06900869107088836
Lying,UpRight,Yaw,0.319637365155769,13.196304415633742,0.005875843636183209
Lying,UpRight,Pitch,0.476903206982344,5.681823099532797,0.043180035179552045
Lying,Up,Yaw,0.2721148104586229,3.66568556740529,0.012381653825951466
Lying,Up,Pitch,-0.007906648267780945,6.67247979205923,8.737399285418945e-06
Lying,UpLeft,Yaw,0.2424183365779183,-5.476179652638592,0.003989156766750934
Lying,UpLeft,Pitch,-0.8654173402522392,8.250235776313271,0.049378427100426836
Lying,Left,Yaw,0.24833881818509457,-11.81603730823418,0.003487259032917578
Lying,Left,Pitch,0.3528318588974761,1.461766310848632,0.004365042436947686
Lying,DownLeft,Yaw,0.6566077814804252,-9.927136451728586,0.05536925520141345
Lying,DownLeft,Pitch,0.9320187304333301,-3.627125635646447,0.07307746454684383
Lying,Down,Yaw,0.22013385807842573,-1.6317603765951332,0.12638296099140645
Lying,Down,Pitch,0.4278141415166745,-5.837400323194085,0.034732541439007725
Lying,DownRight,Yaw,-0.143622827802399,6.739729050835715,0.037893162550625914
Lying,DownRight,Pitch,0.3975807009223008,-7.773363101087938,0.009766570053110435
