Direction,tCount,MaxViewingRange,StartVector,EndVector
DownRight,1,40.79608,(-0.20* 0.96* 0.19),(0.25* 0.71* 0.66)
DownRight,2,42.13455,(-0.17* 0.97* 0.19),(0.27* 0.68* 0.68)
DownRight,3,39.638,(-0.17* 0.97* 0.15),(0.25* 0.74* 0.63)
UpLeft,1,-30.19989,(-0.15* 0.97* 0.18),(-0.45* 0.86* -0.23)
UpLeft,2,-30.85378,(-0.16* 0.96* 0.21),(-0.47* 0.86* -0.21)
UpLeft,3,-32.80493,(-0.13* 0.97* 0.20),(-0.49* 0.85* -0.22)
Down,1,-31.85169,(-0.17* 0.96* 0.23),(-0.22* 0.68* 0.70)
Down,2,-37.38659,(-0.16* 0.97* 0.20),(-0.22* 0.63* 0.74)
Down,3,-33.90484,(-0.18* 0.97* 0.15),(-0.22* 0.71* 0.67)
UpRight,1,28.68091,(-0.17* 0.97* 0.16),(0.25* 0.96* -0.10)
UpRight,2,26.87005,(-0.17* 0.96* 0.20),(0.20* 0.98* -0.08)
UpRight,3,27.90506,(-0.18* 0.96* 0.19),(0.21* 0.97* -0.09)
Right,1,36.02751,(-0.16* 0.97* 0.16),(0.44* 0.86* 0.25)
Right,2,44.7314,(-0.20* 0.96* 0.19),(0.54* 0.80* 0.25)
Right,3,44.06808,(-0.19* 0.96* 0.20),(0.54* 0.80* 0.26)
Up,1,18.71538,(-0.17* 0.96* 0.20),(-0.12* 0.99* -0.12)
Up,2,-18.02124,(-0.15* 0.96* 0.22),(-0.12* 0.99* -0.09)
Up,3,18.66286,(-0.17* 0.97* 0.18),(-0.12* 0.98* -0.14)
DownLeft,1,-35.95191,(-0.18* 0.97* 0.17),(-0.60* 0.64* 0.48)
DownLeft,2,-35.14088,(-0.18* 0.96* 0.20),(-0.61* 0.64* 0.48)
DownLeft,3,-39.32063,(-0.16* 0.98* 0.14),(-0.60* 0.62* 0.50)
Left,1,-34.80522,(-0.16* 0.97* 0.17),(-0.69* 0.71* 0.09)
Left,2,-37.89486,(-0.14* 0.97* 0.18),(-0.72* 0.69* 0.10)
Left,3,-37.67905,(-0.19* 0.96* 0.18),(-0.75* 0.66* 0.07)
