Direction,Participant,NormalBedRange,ActuatedBedRange
Right,1,76.50573333333334,89.83192333333334
Right,2,52.587806666666665,54.65345666666667
Right,3,59.012499999999996,63.86701
Right,4,48.98603666666667,60.51818
Right,5,83.64876,77.04932666666667
Right,6,46.56557,77.63852666666666
Right,7,54.63809666666666,61.62547
Right,8,53.155106666666676,76.76976333333333
Right,9,62.18080333333333,85.81580333333333
Right,10,-1,-1
Right,11,38.51625333333333,55.66067666666667
Right,12,99.95666666666666,111.03429999999999
Right,13,58.61257666666666,63.81716
Right,14,57.265229999999995,50.357499999999995
Right,15,56.67868333333333,74.90537499999999
Right,16,84.31511666666667,88.88260333333334
Up,1,41.89235666666667,44.002695
Up,2,39.54186,38.33882333333333
Up,3,41.70849666666667,20.16871
Up,4,31.508003333333335,21.95328
Up,5,41.68283666666667,34.52870333333333
Up,6,25.31874666666667,29.622656666666668
Up,7,29.01260333333333,33.456986666666666
Up,8,32.73133000000001,43.54928666666667
Up,9,31.003290000000003,34.933145
Up,10,-1,-1
Up,11,29.278005,30.07342
Up,12,50.35348,42.49633
Up,13,37.937423333333335,28.099239999999998
Up,14,43.35153,43.054610000000004
Up,15,38.83614333333333,39.00561
Up,16,39.846803333333334,48.17425
Left,1,63.08208333333334,72.93749666666666
Left,2,0,80.65531
Left,3,61.300376666666665,70.702275
Left,4,42.40875333333333,64.68531666666667
Left,5,75.95395,103.02423333333333
Left,6,57.73678666666667,72.86218666666667
Left,7,63.27595,75.85647
Left,8,55.98956666666667,79.15319333333333
Left,9,54.487503333333336,74.50262
Left,10,-1,-1
Left,11,43.149860000000004,57.13554
Left,12,73.91681333333334,95.32409333333334
Left,13,55.93680333333333,73.90329
Left,14,46.12016,52.479836666666664
Left,15,53.08179666666666,49.392959999999995
Left,16,72.07558333333333,76.57142
Down,1,63.992156666666666,56.312865
Down,2,0,45.05208
Down,3,69.32217666666666,50.67963
Down,4,42.10158666666667,51.62921333333333
Down,5,65.34612,75.83926333333334
Down,6,0,19.617153333333334
Down,7,33.642406666666666,32.46467
Down,8,44.21616,47.39551
Down,9,40.716163333333334,39.36573666666666
Down,10,-1,-1
Down,11,36.30562666666666,59.118500000000004
Down,12,67.32364666666666,46.72976
Down,13,17.536806666666667,38.62339
Down,14,17.309096666666665,43.14946
Down,15,39.286785,59.806985
Down,16,43.069093333333335,49.961839999999995
